Survivor Gender,Steam Player,Anonymous Mode,Prestige,Item,Map Area,Survivor BP,Killer BP,Result
M,Yes,No,96,Firecracker,9728,7926,20316,Dead
F,No,No,15,Medkit,9728,4455,20316,Dead
F,No,No,100,Medkit,9472,23722,35780,Escape
F,No,No,38,Medkit,9472,21225,35780,Dead
F,No,No,23,Toolbox,9472,21162,35780,Dead
M,No,No,25,Medkit,9472,17659,35780,Escape
F,Yes,No,16,None,10240,24033,32962,Dead
F,Yes,No,5,None,10240,20464,32962,Dead
F,Yes,No,16,None,10240,18346,32962,Dead
F,No,Yes,12,Medkit,10240,11795,32962,Dead
M,Yes,No,49,Firecracker,8704,23721,37900,Dead
M,No,No,44,Medkit,8704,22700,37900,Dead
M,No,No,2,None,8704,22611,37900,Dead
M,Yes,No,1,Medkit,8704,14314,37900,Dead
F,Yes,No,2,Medkit,9800,13811,30332,Dead
F,No,No,3,None,9800,13278,30332,Dead
F,No,No,64,Flashlight,9800,12192,30332,Dead
F,Yes,No,53,None,9800,10071,30332,Dead
F,No,No,100,Medkit,7264,19442,33934,Dead
F,No,No,12,Medkit,7264,13350,33934,Dead
F,No,No,4,Medkit,7264,10745,33934,Dead
F,Yes,Yes,17,None,7264,4957,33934,Dead
M,No,No,1,Medkit,9728,15528,27873,Dead
F,Yes,No,2,Medkit,9728,11537,27873,Dead
M,Yes,No,12,Medkit,9728,11017,27873,Dead
F,Yes,No,3,Medkit,9728,1214,27873,Dead
F,Yes,No,35,Flashlight,8704,6047,18305,Dead
F,Yes,No,100,Flashlight,8704,3157,18305,Dead
F,Yes,No,100,Medkit,8704,1267,18305,Dead
M,Yes,No,42,Medkit,8704,579,18305,Dead
M,Yes,No,1,Flashlight,10496,14582,32785,Dead
F,Yes,No,3,Medkit,10496,14139,32785,Dead
F,Yes,No,2,Flashlight,10496,13793,32785,Dead
F,Yes,Yes,10,Medkit,10496,9248,32785,Dead
M,Yes,No,5,None,8704,21066,37056,Dead
M,Yes,No,3,None,8704,19073,37056,Dead
M,Yes,No,4,Medkit,8704,14388,37056,Dead
M,Yes,No,51,Medkit,8704,11754,37056,Dead
M,Yes,No,16,Medkit,9800,27079,36960,Dead
F,No,Yes,55,Toolbox,9800,23129,36960,Dead
F,No,Yes,4,Toolbox,9800,14569,36960,Dead
M,Yes,No,56,Medkit,9800,10568,36960,Dead
F,Yes,No,60,Toolbox,9984,9951,20708,Dead
F,No,No,6,Toolbox,9984,9421,20708,Dead
M,Yes,Yes,3,Flashlight,9984,8822,20708,Dead
M,No,No,5,Flashlight,9984,8323,20708,Dead
F,No,No,8,Medkit,8704,22865,26710,Escape
F,Yes,No,9,Toolbox,8704,13612,26710,Dead
F,No,No,62,Key,8704,8476,26710,Dead
F,No,Yes,96,Medkit,8704,6329,26710,Dead
F,Yes,No,24,Medkit,8832,23082,32499,Escape
F,No,No,7,Medkit,8832,13990,32499,Dead
F,No,No,13,None,8832,12038,32499,Dead
F,No,No,100,Medkit,8832,11118,32499,Dead
F,Yes,No,48,Medkit,9216,15025,27537,Dead
F,Yes,No,4,Medkit,9216,14213,27537,Dead
M,Yes,No,13,Flashlight,9216,13464,27537,Dead
M,Yes,No,15,Flashlight,9216,12341,27537,Dead
F,Yes,No,9,Flashlight,9984,22823,36162,Dead
F,Yes,No,47,Map,9984,21468,36162,Dead
F,Yes,Yes,25,Medkit,9984,17557,36162,Dead
F,Yes,No,34,Medkit,9984,12775,36162,Dead
F,No,No,47,Flashlight,10240,13101,23888,Dead
F,Yes,No,44,Flashlight,10240,9406,23888,Dead
F,No,No,87,Toolbox,10240,7573,23888,Dead
F,No,Yes,50,Medkit,10240,7448,23888,Dead
M,Yes,No,22,Medkit,9984,10410,23301,Dead
F,Yes,No,9,Flashlight,9984,10115,23301,Dead
F,No,No,78,Key,9984,6481,23301,Dead
F,No,No,7,None,9984,6289,23301,Dead
F,No,Yes,4,Medkit,8704,25591,37259,Dead
F,No,No,75,Toolbox,8704,18418,37259,Dead
F,No,No,21,Toolbox,8704,16616,37259,Dead
F,No,No,6,Medkit,8704,13775,37259,Dead
F,Yes,No,100,Medkit,7264,14454,31203,Dead
M,Yes,No,100,Flashlight,7264,12247,31203,Dead
F,Yes,No,77,Toolbox,7264,10053,31203,Dead
M,Yes,No,3,Medkit,7264,7956,31203,Dead
M,Yes,No,27,Flashlight,8704,20779,34887,Dead
F,No,No,16,Flashlight,8704,20164,34887,Dead
F,Yes,No,3,Flashlight,8704,16209,34887,Dead
